sub_location,bed_rooms,bath_rooms,house_size,land_size,price,garden,commercial_area,luxury_level
Colombo 5 ,5,2,2500.0 sqft,8.5 perches,"Rs 120,000,000.00",True,True,luxury
Colombo 5 ,3,2,1600.0 sqft,6.1 perches,"Rs 24,000,000.00",False,True,basic
Colombo 5 ,5,5,4000.0 sqft,33.26 perches,"Rs 250,000,000.00",True,True,luxury
Colombo 5 ,4,3,4000.0 sqft,20.0 perches,"Rs 320,000,000.00",False,True,luxury
Colombo 5 ,9,9,4500.0 sqft,16.0 perches,"Rs 350,000,000.00",False,True,luxury
Colombo 5 ,6,5,5000.0 sqft,18.0 perches,"Rs 220,000,000.00",False,True,luxury
Colombo 5 ,6,3,2000.0 sqft,15.54 perches,"Rs 255,000,000.00",False,True,luxury
Colombo 5 ,6,5,5000.0 sqft,18.0 perches,"Rs 200,000,000.00",False,True,luxury
Colombo 5 ,6,2,2800.0 sqft,6.0 perches,"Rs 35,000,000.00",False,True,semi luxury
Colombo 5 ,4,2,3000.0 sqft,7.0 perches,"Rs 100,000,000.00",False,True,luxury
Colombo 5 ,2,2,1500.0 sqft,10.49 perches,"Rs 52,500,000.00",False,True,semi luxury
Colombo 5 ,5,2,2500.0 sqft,8.5 perches,"Rs 125,000,000.00",True,True,luxury
Colombo 5 ,4,4,3500.0 sqft,12.0 perches,"Rs 240,000,000.00",True,True,luxury
Colombo 5 ,3,3,3000.0 sqft,15.6 perches,"Rs 249,600,000.00",False,True,luxury
Colombo 5 ,6,3,3500.0 sqft,15.54 perches,"Rs 255,000,000.00",False,True,luxury
Colombo 5 ,3,3,1500.0 sqft,6.6 perches,"Rs 102,000,000.00",False,True,luxury
Colombo 5 ,8,5,5000.0 sqft,7.3 perches,"Rs 75,000,000.00",False,True,luxury
Colombo 5 ,4,4,5500.0 sqft,16.0 perches,"Rs 360,000,000.00",False,True,luxury
Colombo 5 ,4,3,2500.0 sqft,14.0 perches,"Rs 84,000,000.00",False,True,luxury
Colombo 5 ,5,4,3000.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,4,4,3500.0 sqft,10.5 perches,"Rs 56,000,000.00",False,True,semi luxury
Colombo 5 ,3,3,2500.0 sqft,19.5 perches,"Rs 244,000,000.00",False,True,luxury
Colombo 5 ,8,4,4500.0 sqft,18.3 perches,"Rs 140,000,000.00",False,True,luxury
Colombo 5 ,5,5,4000.0 sqft,15.5 perches,"Rs 232,500,000.00",False,True,luxury
Colombo 5 ,5,3,2500.0 sqft,8.0 perches,"Rs 75,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,13.5 perches,"Rs 90,000,000.00",True,True,luxury
Colombo 5 ,4,2,1500.0 sqft,2.5 perches,"Rs 7,000,000.00",False,True,basic
Colombo 5 ,3,2,1500.0 sqft,7.0 perches,"Rs 44,000,000.00",False,True,semi luxury
Colombo 5 ,5,3,3000.0 sqft,6.5 perches,"Rs 45,000,000.00",False,True,semi luxury
Colombo 5 ,4,3,3000.0 sqft,11.9 perches,"Rs 130,000,000.00",False,True,luxury
Colombo 5 ,5,5,3000.0 sqft,7.44 perches,"Rs 95,000,000.00",True,True,luxury
Colombo 5 ,4,3,3000.0 sqft,11.9 perches,"Rs 130,000,000.00",True,True,luxury
Colombo 5 ,5,5,4500.0 sqft,13.0 perches,"Rs 125,000,000.00",False,True,luxury
Colombo 5 ,4,3,2000.0 sqft,10.0 perches,"Rs 190,000,000.00",False,True,luxury
Colombo 5 ,8,8,7500.0 sqft,26.0 perches,"Rs 230,000,000.00",True,True,luxury
Colombo 5 ,4,2,2200.0 sqft,4.0 perches,"Rs 35,000,000.00",False,True,semi luxury
Colombo 5 ,4,3,4000.0 sqft,6.62 perches,"Rs 150,000,000.00",False,True,luxury
Colombo 5 ,9,7,6300.0 sqft,11.0 perches,"Rs 165,000,000.00",False,True,luxury
Colombo 5 ,2,2,1300.0 sqft,8.8 perches,"Rs 105,600,000.00",False,True,luxury
Colombo 5 ,4,4,4000.0 sqft,33.26 perches,"Rs 295,000,000.00",True,True,luxury
Colombo 5 ,4,3,3200.0 sqft,9.0 perches,"Rs 175,000,005.00",False,True,luxury
Colombo 5 ,7,7,6300.0 sqft,10.6 perches,"Rs 160,000,000.00",True,True,luxury
Colombo 5 ,4,3,2500.0 sqft,9.0 perches,"Rs 160,000,000.00",False,True,luxury
Colombo 5 ,4,2,1138.0 sqft,11.38 perches,"Rs 175,000,000.00",True,True,luxury
Colombo 5 ,4,3,3500.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,6,6,9100.0 sqft,88.0 perches,"Rs 170,000,000.00",True,True,luxury
Colombo 5 ,3,2,1300.0 sqft,10.0 perches,"Rs 26,000,000.00",False,True,semi luxury
Colombo 5 ,4,4,5000.0 sqft,10.0 perches,"Rs 125,000,000.00",True,True,luxury
Colombo 5 ,7,8,3000.0 sqft,10.0 perches,"Rs 120,000,000.00",True,True,luxury
Colombo 5 ,5,5,2700.0 sqft,10.0 perches,"Rs 100,000,000.00",True,True,luxury
Colombo 5 ,9,9,4500.0 sqft,16.5 perches,"Rs 350,000,000.00",True,True,luxury
Colombo 5 ,5,3,2500.0 sqft,8.25 perches,"Rs 115,000,000.00",False,True,luxury
Colombo 5 ,4,3,3500.0 sqft,9.0 perches,"Rs 175,000,000.00",False,True,luxury
Colombo 5 ,4,2,2500.0 sqft,15.0 perches,"Rs 90,000,000.00",True,True,luxury
Colombo 5 ,4,4,3500.0 sqft,10.0 perches,"Rs 125,000,000.00",True,True,luxury
Colombo 5 ,5,4,3300.0 sqft,7.5 perches,"Rs 90,000,000.00",True,True,luxury
Colombo 5 ,5,5,4200.0 sqft,33.0 perches,"Rs 250,000,000.00",True,True,luxury
Colombo 5 ,4,4,3500.0 sqft,7.5 perches,"Rs 90,000,000.00",True,True,luxury
Colombo 5 ,3,2,2100.0 sqft,6.0 perches,"Rs 65,000,000.00",False,True,semi luxury
Colombo 5 ,5,2,2300.0 sqft,7.15 perches,"Rs 50,000,000.00",False,True,semi luxury
Colombo 5 ,4,2,2250.0 sqft,4.0 perches,"Rs 35,000,000.00",False,True,semi luxury
Colombo 5 ,3,3,2300.0 sqft,10.5 perches,"Rs 75,000,000.00",False,True,luxury
Colombo 5 ,4,3,4000.0 sqft,7.8 perches,"Rs 130,000,000.00",False,True,luxury
Colombo 5 ,7,5,3000.0 sqft,11.0 perches,"Rs 53,000,000.00",False,True,semi luxury
Colombo 5 ,6,5,7000.0 sqft,35.0 perches,"Rs 500,000,000.00",False,True,luxury
Colombo 5 ,4,4,3000.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,7,4,3000.0 sqft,6.85 perches,"Rs 150,700,000.00",False,True,luxury
Colombo 5 ,3,3,2664.0 sqft,6.6 perches,"Rs 62,000,000.00",True,True,semi luxury
Colombo 5 ,5,4,4000.0 sqft,33.2 perches,"Rs 250,000,000.00",False,True,luxury
Colombo 5 ,5,5,3500.0 sqft,7.5 perches,"Rs 150,000,000.00",True,True,luxury
Colombo 5 ,5,5,4800.0 sqft,33.26 perches,"Rs 250,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,12.3 perches,"Rs 130,000,000.00",False,True,luxury
Colombo 5 ,6,4,3500.0 sqft,15.0 perches,"Rs 102,000,000.00",False,True,luxury
Colombo 5 ,2,2,1800.0 sqft,3.69 perches,"Rs 42,000,000.00",False,True,semi luxury
Colombo 5 ,4,3,3300.0 sqft,14.0 perches,"Rs 84,000,000.00",False,True,luxury
Colombo 5 ,4,2,2100.0 sqft,4.0 perches,"Rs 35,000,000.00",False,True,semi luxury
Colombo 5 ,9,6,3000.0 sqft,10.0 perches,"Rs 105,000,000.00",False,True,luxury
Colombo 5 ,5,2,2000.0 sqft,8.75 perches,"Rs 120,000,000.00",False,True,luxury
Colombo 5 ,4,2,3100.0 sqft,11.38 perches,"Rs 210,000,000.00",False,True,luxury
Colombo 5 ,6,4,5000.0 sqft,15.0 perches,"Rs 165,000,000.00",False,True,luxury
Colombo 5 ,4,2,2200.0 sqft,7.0 perches,"Rs 50,000,000.00",False,True,semi luxury
Colombo 5 ,5,4,4200.0 sqft,33.28 perches,"Rs 265,000,000.00",True,True,luxury
Colombo 5 ,6,5,5000.0 sqft,18.0 perches,"Rs 200,000,000.00",True,True,luxury
Colombo 5 ,4,2,3000.0 sqft,11.38 perches,"Rs 170,700,000.00",True,True,luxury
Colombo 5 ,6,2,500.0 sqft,2.0 perches,"Rs 19,800,000.00",False,True,basic
Colombo 5 ,5,3,2500.0 sqft,8.25 perches,"Rs 115,000,000.00",True,True,luxury
Colombo 5 ,4,3,3200.0 sqft,9.0 perches,"Rs 175,000,000.00",False,True,luxury
Colombo 5 ,4,3,3900.0 sqft,12.2 perches,"Rs 82,000,000.00",False,True,luxury
Colombo 5 ,4,2,2200.0 sqft,4.5 perches,"Rs 35,000,000.00",False,True,semi luxury
Colombo 5 ,3,2,2000.0 sqft,32.4 perches,"Rs 127,000,000.00",False,True,luxury
Colombo 5 ,4,5,3000.0 sqft,7.44 perches,"Rs 95,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,12.0 perches,"Rs 110,000,000.00",False,True,luxury
Colombo 5 ,4,3,3200.0 sqft,8.0 perches,"Rs 80,000,000.00",True,True,luxury
Colombo 5 ,2,1,500.0 sqft,2.0 perches,"Rs 14,000,000.00",True,True,basic
Colombo 5 ,4,4,3000.0 sqft,10.0 perches,"Rs 130,000,000.00",True,True,luxury
Colombo 5 ,5,5,3000.0 sqft,7.0 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,5,5,4800.0 sqft,33.26 perches,"Rs 250,000,000.00",True,True,luxury
Colombo 5 ,5,5,2400.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,5,3,5000.0 sqft,10.0 perches,"Rs 140,000,000.00",False,True,luxury
Colombo 5 ,4,4,3500.0 sqft,11.5 perches,"Rs 126,000,000.00",False,True,luxury
Colombo 5 ,4,2,2000.0 sqft,15.5 perches,"Rs 13,500,000.00",False,True,basic
Colombo 5 ,4,5,1647.0 sqft,6.4 perches,"Rs 145,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,11.5 perches,"Rs 80,000,000.00",True,True,luxury
Colombo 5 ,4,4,2500.0 sqft,8.25 perches,"Rs 110,000,000.00",True,True,luxury
Colombo 5 ,6,5,4000.0 sqft,18.0 perches,"Rs 190,000,000.00",True,True,luxury
Colombo 5 ,9,10,5000.0 sqft,8.0 perches,"Rs 137,500,000.00",False,True,luxury
Colombo 5 ,4,2,2000.0 sqft,11.38 perches,"Rs 180,000,000.00",False,True,luxury
Colombo 5 ,4,4,4000.0 sqft,15.15 perches,"Rs 280,000,000.00",False,True,luxury
Colombo 5 ,5,3,3360.0 sqft,10.3 perches,"Rs 160,000,000.00",False,True,luxury
Colombo 5 ,8,9,9000.0 sqft,30.0 perches,"Rs 320,000,000.00",True,True,luxury
Colombo 5 ,4,3,2000.0 sqft,6.6 perches,"Rs 108,900,000.00",False,True,luxury
Colombo 5 ,4,2,2500.0 sqft,9.3 perches,"Rs 100,000,000.00",False,True,luxury
Colombo 5 ,5,5,6000.0 sqft,7.5 perches,"Rs 160,000,000.00",False,True,luxury
Colombo 5 ,8,8,5917.0 sqft,17.2 perches,"Rs 250,000,000.00",False,True,luxury
Colombo 5 ,6,5,5000.0 sqft,18.0 perches,"Rs 190,000,000.00",False,True,luxury
Colombo 5 ,5,3,2500.0 sqft,8.5 perches,"Rs 150,000,000.00",True,True,luxury
Colombo 5 ,4,2,3000.0 sqft,20.0 perches,"Rs 180,000,000.00",True,True,luxury
Colombo 5 ,5,4,3500.0 sqft,7.5 perches,"Rs 85,000,000.00",False,True,luxury
Colombo 5 ,4,3,3000.0 sqft,10.0 perches,"Rs 125,000,000.00",False,True,luxury
Colombo 5 ,5,3,4500.0 sqft,19.2 perches,"Rs 230,000,000.00",False,True,luxury
Colombo 5 ,4,2,2000.0 sqft,17.0 perches,"Rs 136,000,000.00",True,True,luxury
Colombo 5 ,5,4,3500.0 sqft,7.5 perches,"Rs 95,000,000.00",True,True,luxury
Battaramulla ,4,3,3000.0 sqft,14.85 perches,"Rs 77,000,000.00",True,True,luxury
Battaramulla ,4,3,1900.0 sqft,8.59 perches,"Rs 43,500,000.00",True,True,luxury
Battaramulla ,4,3,1900.0 sqft,6.5 perches,"Rs 34,000,000.00",False,True,semi luxury
Battaramulla ,4,4,2800.0 sqft,7.0 perches,"Rs 39,000,000.00",False,True,semi luxury
Battaramulla ,4,4,4500.0 sqft,21.0 perches,"Rs 220,000,000.00",True,True,luxury
Battaramulla ,3,2,1250.0 sqft,11.0 perches,"Rs 34,000,000.00",True,True,semi luxury
Battaramulla ,4,3,2400.0 sqft,10.0 perches,"Rs 56,000,000.00",False,True,luxury
Battaramulla ,3,1,2000.0 sqft,10.0 perches,"Rs 23,500,000.00",False,True,basic
Battaramulla ,3,3,3000.0 sqft,22.6 perches,"Rs 90,000,000.00",False,True,luxury
Battaramulla ,5,4,1708.0 sqft,14.9 perches,"Rs 29,500,000.00",False,True,semi luxury
Battaramulla ,5,4,3400.0 sqft,12.0 perches,"Rs 60,000,000.00",False,True,luxury
Battaramulla ,3,2,2000.0 sqft,40.0 perches,"Rs 120,000,000.00",False,True,luxury
Battaramulla ,5,4,2870.0 sqft,12.0 perches,"Rs 72,000,000.00",True,True,luxury
Battaramulla ,4,4,3500.0 sqft,6.1 perches,"Rs 52,000,000.00",False,True,luxury
Battaramulla ,4,3,2400.0 sqft,10.0 perches,"Rs 62,000,000.00",False,True,luxury
Battaramulla ,4,4,3000.0 sqft,8.0 perches,"Rs 72,000,000.00",False,True,luxury
Battaramulla ,4,2,3000.0 sqft,10.0 perches,"Rs 48,500,000.00",False,True,luxury
Battaramulla ,4,4,5600.0 sqft,15.0 perches,"Rs 130,000,000.00",True,True,luxury
Battaramulla ,4,3,2800.0 sqft,10.0 perches,"Rs 48,500,000.00",True,True,luxury
Battaramulla ,5,5,5000.0 sqft,15.0 perches,"Rs 130,000,000.00",True,True,luxury
Battaramulla ,4,4,4200.0 sqft,11.2 perches,"Rs 78,000,000.00",True,True,luxury
Battaramulla ,4,4,3000.0 sqft,8.0 perches,"Rs 72,500,000.00",False,True,luxury
Battaramulla ,5,5,3500.0 sqft,16.0 perches,"Rs 98,500,000.00",True,True,luxury
Battaramulla ,6,6,3850.0 sqft,6.0 perches,"Rs 63,000,000.00",False,True,luxury
Battaramulla ,4,3,1900.0 sqft,10.0 perches,"Rs 52,500,000.00",True,True,luxury
Battaramulla ,4,3,3000.0 sqft,6.0 perches,"Rs 65,000,000.00",False,True,luxury
Battaramulla ,4,3,5400.0 sqft,26.0 perches,"Rs 175,000,000.00",False,True,luxury
Battaramulla ,4,3,3124.0 sqft,15.0 perches,"Rs 125,000,000.00",False,True,luxury
Battaramulla ,5,4,3700.0 sqft,14.0 perches,"Rs 54,000,000.00",True,True,luxury
Battaramulla ,5,5,6000.0 sqft,15.0 perches,"Rs 170,000,000.00",True,True,luxury
Battaramulla ,4,3,3000.0 sqft,10.5 perches,"Rs 35,000,000.00",False,True,semi luxury
Battaramulla ,4,4,3000.0 sqft,8.59 perches,"Rs 47,000,000.00",True,True,luxury
Battaramulla ,9,4,4800.0 sqft,15.0 perches,"Rs 140,000,000.00",True,True,luxury
Battaramulla ,4,3,3400.0 sqft,10.37 perches,"Rs 60,000,000.00",False,True,luxury
Battaramulla ,5,3,2800.0 sqft,15.0 perches,"Rs 170,000,000.00",False,True,luxury
Battaramulla ,4,3,3000.0 sqft,6.0 perches,"Rs 65,000,000.00",True,True,luxury
Battaramulla ,5,5,6000.0 sqft,14.0 perches,"Rs 170,000,000.00",True,True,luxury
Battaramulla ,4,4,3500.0 sqft,8.0 perches,"Rs 72,000,000.00",False,True,luxury
Battaramulla ,5,4,3500.0 sqft,14.0 perches,"Rs 54,000,000.00",True,True,luxury
Battaramulla ,3,3,1407.0 sqft,10.0 perches,"Rs 24,500,000.00",True,True,basic
Battaramulla ,3,3,2200.0 sqft,4.6 perches,"Rs 31,500,000.00",False,True,semi luxury
Battaramulla ,4,3,2200.0 sqft,10.0 perches,"Rs 56,000,000.00",True,True,luxury
Battaramulla ,6,4,1959.0 sqft,14.62 perches,"Rs 80,000,000.00",False,True,luxury
Battaramulla ,5,5,2870.0 sqft,12.0 perches,"Rs 72,000,000.00",True,True,luxury
Battaramulla ,4,4,3500.0 sqft,9.95 perches,"Rs 66,500,000.00",True,True,luxury
Battaramulla ,4,4,3400.0 sqft,9.95 perches,"Rs 66,500,000.00",True,True,luxury
Battaramulla ,4,3,2800.0 sqft,8.0 perches,"Rs 50,000,000.00",False,True,luxury
Battaramulla ,4,5,5400.0 sqft,26.0 perches,"Rs 175,000,000.00",False,True,luxury
Battaramulla ,5,5,3700.0 sqft,14.0 perches,"Rs 54,000,000.00",True,True,luxury
Battaramulla ,6,5,4000.0 sqft,16.0 perches,"Rs 98,500,000.00",True,True,luxury
Battaramulla ,4,4,4000.0 sqft,17.4 perches,"Rs 175,000,000.00",True,True,luxury
Battaramulla ,5,3,3500.0 sqft,12.5 perches,"Rs 45,000,000.00",False,True,luxury
Battaramulla ,4,2,1900.0 sqft,6.5 perches,"Rs 34,000,000.00",False,True,semi luxury
Battaramulla ,5,5,3500.0 sqft,16.0 perches,"Rs 95,000,000.00",True,True,luxury
Battaramulla ,5,4,5000.0 sqft,15.0 perches,"Rs 130,000,000.00",True,True,luxury
Battaramulla ,4,3,2300.0 sqft,14.9 perches,"Rs 68,000,000.00",True,True,luxury
Battaramulla ,2,2,1500.0 sqft,3.13 perches,"Rs 8,700,000.00",False,True,basic
Battaramulla ,4,3,3500.0 sqft,17.0 perches,"Rs 100,000,000.00",True,True,luxury
Battaramulla ,5,5,3500.0 sqft,16.0 perches,"Rs 120,000,000.00",True,True,luxury
Battaramulla ,3,3,1400.0 sqft,9.33 perches,"Rs 83,500,000.00",True,True,luxury
Battaramulla ,4,5,4000.0 sqft,8.0 perches,"Rs 45,000,000.00",False,True,luxury
Battaramulla ,4,3,2300.0 sqft,9.0 perches,"Rs 64,500,000.00",True,True,luxury
Battaramulla ,4,4,10000.0 sqft,30.0 perches,"Rs 160,000,000.00",True,True,luxury
Battaramulla ,4,4,4500.0 sqft,10.0 perches,"Rs 120,000,000.00",True,True,luxury
Battaramulla ,4,2,4000.0 sqft,22.7 perches,"Rs 102,150,000.00",True,True,luxury
Battaramulla ,3,2,2820.0 sqft,6.0 perches,"Rs 32,500,000.00",True,True,semi luxury
Battaramulla ,3,2,2988.0 sqft,6.0 perches,"Rs 32,500,000.00",True,True,semi luxury
Battaramulla ,5,5,2000.0 sqft,23.7 perches,"Rs 185,000,000.00",True,True,luxury
Battaramulla ,3,2,2700.0 sqft,7.0 perches,"Rs 55,000,000.00",False,True,luxury
Battaramulla ,4,3,2500.0 sqft,10.0 perches,"Rs 67,000,000.00",True,True,luxury
Battaramulla ,3,2,2700.0 sqft,6.5 perches,"Rs 55,000,000.00",False,True,luxury
Battaramulla ,5,4,2850.0 sqft,12.0 perches,"Rs 72,000,000.00",True,True,luxury
Battaramulla ,5,5,6280.0 sqft,19.0 perches,"Rs 180,000,000.00",True,True,luxury
Battaramulla ,4,4,3000.0 sqft,10.0 perches,"Rs 130,000,000.00",False,True,luxury
Battaramulla ,4,2,2637.0 sqft,15.0 perches,"Rs 70,000,000.00",True,True,luxury
Battaramulla ,8,8,9000.0 sqft,30.0 perches,"Rs 320,000,000.00",True,True,luxury
Battaramulla ,4,3,3000.0 sqft,41.0 perches,"Rs 250,000,000.00",False,True,luxury
Battaramulla ,3,2,2000.0 sqft,10.0 perches,"Rs 26,000,000.00",False,True,semi luxury
Battaramulla ,4,4,3500.0 sqft,15.0 perches,"Rs 125,000,000.00",False,True,luxury
Battaramulla ,5,4,5000.0 sqft,29.5 perches,"Rs 175,000,000.00",True,True,luxury
Battaramulla ,4,4,4000.0 sqft,13.0 perches,"Rs 130,000,000.00",False,True,luxury
Battaramulla ,3,1,1350.0 sqft,10.5 perches,"Rs 27,500,000.00",False,True,semi luxury
Battaramulla ,8,3,4800.0 sqft,20.0 perches,"Rs 160,000,000.00",False,True,luxury
Battaramulla ,4,3,2520.0 sqft,6.8 perches,"Rs 72,000,000.00",False,True,luxury
Battaramulla ,4,3,2300.0 sqft,14.9 perches,"Rs 68,000,000.00",False,True,luxury
Battaramulla ,7,4,4522.0 sqft,10.48 perches,"Rs 60,000,000.00",False,True,luxury
Battaramulla ,3,2,1905.75 sqft,12.0 perches,"Rs 35,000,000.00",False,True,semi luxury
Battaramulla ,5,5,6500.0 sqft,23.7 perches,"Rs 185,000,000.00",True,True,luxury
Battaramulla ,4,3,2450.0 sqft,10.0 perches,"Rs 65,000,000.00",False,True,luxury
Battaramulla ,6,4,4500.0 sqft,8.0 perches,"Rs 60,000,000.00",False,True,luxury
Battaramulla ,4,3,2300.0 sqft,8.88 perches,"Rs 64,500,000.00",True,True,luxury
Battaramulla ,2,1,1100.0 sqft,5.0 perches,"Rs 9,000,000.00",True,True,basic
Battaramulla ,4,3,3000.0 sqft,10.0 perches,"Rs 59,000,000.00",False,True,luxury
Battaramulla ,3,2,4000.0 sqft,7.0 perches,"Rs 65,000,000.00",False,True,luxury
Battaramulla ,3,3,3584.0 sqft,50.0 perches,"Rs 160,000,000.00",True,True,luxury
Battaramulla ,5,3,6452.0 sqft,23.7 perches,"Rs 200,000,000.00",True,True,luxury
Battaramulla ,3,1,2500.0 sqft,10.5 perches,"Rs 27,500,000.00",False,True,semi luxury
Battaramulla ,4,2,1900.0 sqft,6.6 perches,"Rs 34,000,000.00",False,True,semi luxury
Battaramulla ,6,6,3700.0 sqft,10.0 perches,"Rs 100,000,000.00",False,True,luxury
Battaramulla ,5,3,2870.0 sqft,12.0 perches,"Rs 69,000,000.00",True,True,luxury
Battaramulla ,4,2,2800.0 sqft,11.0 perches,"Rs 48,500,000.00",True,True,luxury
Battaramulla ,5,4,3200.0 sqft,14.0 perches,"Rs 54,000,000.00",True,True,luxury
Battaramulla ,7,4,4100.0 sqft,19.72 perches,"Rs 75,000,000.00",False,True,luxury
Battaramulla ,3,2,1800.0 sqft,10.0 perches,"Rs 27,500,000.00",True,True,semi luxury
